movie_name,year,genre,description
The Last Women of the Philippines,1986,"Action, Adventure",Two young sisters are shipwrecked on a deserted island with their teacher Ms. Muro.
The Cokeville Miracle,2015,"Drama, Family, History","Children who were held hostage in their elementary school tell stories of miraculous things, but many adults are skeptical that the Cokeville Miracle ever truly happened."
Zura Deka,2006,"Action, Comedy",Genda is a street cop with a secret weapon: his toupée.
Take the Money and Run,1969,"Comedy, Crime","The life and times of Virgil Starkwell, inept bank robber."
Thikka,2016,"Action, Comedy","A freaky incident during a man's breakup party leads to an ultimate change in his life as uncalled situations pop up, eventually leading to a lot of frenzy."
The Horsemen,2016,"Drama, Thriller, War","When journalist Jack Carter is held prisoner by an oppressive government years after a divisive election, he recounts democracy's swan song to a young soldier."
The 6th Kiss,2018,"Comedy, Romance",A boy gets in trouble at school after going to extremes to stop a kiss from happening. Now he has to convince his principal of the 6th kiss theory while trying to plan out his own 6th kiss.
Drunken Angel,1948,"Crime, Drama, Romance",A drunken doctor with a hot temper and a violence-prone gangster with tuberculosis form a quicksilver bond.
Kilties Three,1918,"Drama, War",In Edinburgh a foundry owner weds a German spy's widow who becomes a nurse.
Before the Deluge,1954,"Crime, Drama",Self-centered parents of the 50's targeted by drama in which teenagers panicking after burglary supposed to finance the run from the Third World War.
Mercy's Girl,2018,"Drama, Romance","A closeted gay woman, Mercy (Emily Lape), meets an attractive, sexual and loving college student named Jesse (Alison Hixon) that challenges her to explore her own beliefs on sexuality and religion."
The Vanishing Field,2020,"Drama, Mystery","Disenchanted with the corruption of society, Jacob joins a monastery where his meditation practice ignites a spontaneous out-of-body experience."
Miss Forever,2019,"Drama, Romance",A touching coming-of-age story that follows an engineering boy who falls in love with a girl. To have had you once in my life is already enough.
The Protector,2019,"Comedy, Romance","Based on the novel by best selling author, Jodi Ellen Malpas."
Carolina's Calling,2021,"Adventure, Comedy, Sci-Fi","When Martin a brilliant but failing engineer creates an infinite power source that causes an oddball space alien to crash land on Earth, the two form a comedic alliance in their quest to get Bob home."
My Blind Brother,2016,"Comedy, Drama, Romance",The rivalry between two brothers reaches a fever pitch during a charity swim competition.
Zaldong Batangueno,1963,"Action, Comedy",Exploding Action. Spilling Laughter.
Steve Jobs,2015,"Biography, Drama","Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
The Haunting of M.R. James,2018,Horror,Five of the most tales by the master of the ghost story M.R. James dramatized for BBC Radio 4.
I Went To,2000,"Action, Crime",New magistrate cleans up a corrupt town in his own comic Samurai way.
Razorback,1984,"Horror, Thriller","As a vicious wild boar terrorizes the Australian outback, the husband of one of the victims is joined by a hunter and a farmer in a search for the beast."
The Torture Chamber of Dr. Sadism,1967,"Horror, Mystery","A Count executed for murdering twelve virgins in a bid for immortality returns to life, seeking revenge on the daughter of his intended thirteenth victim and the son of his prosecutor."
Spaceballs,1987,"Adventure, Comedy, Sci-Fi",A star-pilot for hire and his trusty sidekick must come to the rescue of a princess and save Planet Druidia from the clutches of the evil Spaceballs.
Wall of Death,1951,"Drama, Romance, Sport",The story about a prizefighter and a motorcycle daredevil that vie for the beautiful girl from the Carnival.
Chil soyeo bokseong,1988,"Action, Thriller","When four prostitutes are killed in Hong Kong, police begin to suspect that it is the work of a serial killer. An international force of seven policewomen are sent undercover in the hopes of trapping the killer"
Berlin '36,2009,"Drama, History, Sport","In the days leading up to the 1936 Olympics, the fate of high jumper Gretel Bergmann hangs in the balance as it is decided whether or not a Jewish athlete can be a part of the German Olympic team."
Shakma,1990,"Horror, Sci-Fi, Thriller",A group of medical students are attacked by an aggressive laboratory animal while competing in an after-hours role-playing game at their school.
Strafbataillon 999,1960,"Drama, War","On the Eastern Front in World War II, a German battalion fights Russian and Partisan soldiers."
Mudhal Nee Mudivum Nee,2022,"Drama, Fantasy, Romance","In the 1990s, a group of high school students in a strict Catholic school navigate their way through everyday teen pressures. Watch Mudhal Nee Mudivum Nee, a ZEE5 Exclusive film."
Dracula,1992,"Drama, Fantasy, Horror",The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
Little Monsters,1989,"Adventure, Comedy, Family",A boy discovers an incredible and gruesome world of monsters under his bed.
Diabolically Yours,1967,"Crime, Drama, Thriller",A wealthy amnesiac begins to suspect that his devoted wife is not really his wife and that he is not the man people keep telling him he is.
The Xrossing,2020,"Crime, Drama, Thriller","When a murder remains unsolved, 3 boys suspect and harass a reclusive indigenous man. One boy decides to break the cycle to make amends, however the inertia of past actions bring multiple characters to a crossroad and thrilling climax."
Morelos,2012,History,"La película retrata los últimos años de la vida de José María Morelos y Pavón (1812-1815), héroe mexicano quien tras burlar el cerco de sus enemigos, toma una de las ciudades más ...                See full synopsis »"
Violación,1989,"Action, Crime, Drama",A woman is raped in her apartment. José a neighboring journalist and his friend Sancho will try to help her by seeing that the police do not come to their aid and the authorities do not do their job.
Frankie,2019,"Drama, Romance","Three generations grappling with a life-changing experience during one day of a vacation in Sintra, Portugal, a historic town known for its dense gardens and fairy-tale villas and palaces."
Love in the Wrong Places,2018,Romance,An ambitious young man loses his girlfriend to a rich guy. His Casanova friend hooks him up with another woman to help get over the breakup.
True Brit,2003,"Action, Comedy, Drama",A cockney girl and her soccer team of thugs confront an Indian player who she had previouly had a fling with.
Indecent Proposal,1993,"Drama, Romance","A billionaire offers $1,000,000 to a young married couple for one night with the wife."
Yomeddine,2018,"Adventure, Comedy, Drama",A Coptic leper and his orphaned apprentice leave the confines of the leper colony for the first time and embark on a journey across Egypt to search for what is left of their families.
Ich kenn' dich nicht und liebe dich,1934,Romance,"A composer, inspired by a magazine photo of a young woman, lands a job as a butler in her family's Riviera villa to find out more."
Molière,2007,"Biography, Comedy","To satisfy his creditors, a witty actor reinvents himself as a satirical playwright, with uproarious, yet bittersweet, results."
Crave,2012,"Drama, Thriller","A downtrodden photographer, haunted by the urban violence and decay around him, retreats into an inner world of dark fantasies."
Romeo Vs Juliet,2015,"Action, Drama, Romance",Romeo is an unruly youth in his local village. He goes to London after seeing his dream girl on Facebook to win her heart.
Maximum Risk,1996,"Action, Thriller","While seeking answers regarding the death of the twin brother he never knew he had, a French cop and his sibling's fiancée find themselves pursued by corrupt FBI agents and the Russian mafia."
Canne mozze,1977,"Action, Crime","Three vicious criminals lead by Rico and his twisted girlfriend Germana evade capture by the law at every turn. A determined cop, Tony, tries to hunt down the masked maniacs after they murder his undercover policewoman girlfriend."
Legittima vendetta,1995,"Mystery, Thriller","An upscale couple visit a villa owned by a woman named Rita for some rest and relaxation, but the husband and Rita have other plans."
The Offering,2020,"Drama, Thriller","Jan, a mysterious character haunted by a deep feeling of guilt, tries to get Violeta back, a youth love he lost 20 years ago, with a sickening plan."
Winning Formula,2015,"Comedy, Crime, Mystery","While backpacking around America, two Aussie girls find themselves deep in turtle racing debt. They devise crafty schemes to earn money any way they can while unwittingly becoming tangled in a dark mystery surrounding their family's past."
My Angel,2011,"Drama, Family","A teenage boy, while his mother is severely ill and his brother is under his care, has a powerful dream of needing to hunt down a magical halo in order to reunite his family for the holidays."
Spy,2015,"Action, Comedy","A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster."
The Depths,2017,"Crime, Drama, Thriller","Desperate for a measure of success, wannabe screenwriters Mickey Hansen and Ray Ferguson decide to fully explore the depths of murder and crime within their story only to discover their obsession with their work has made it all too real."
Bolo Na Tumi Amar,2010,Romance,"A couple marry in order to save the bride from her father's choice of groom, but they don't actually love each other. It's ""make it work"" time."
Saken: United,2020,"Action, Adventure, Drama",The Saken team and their allies must be willing to sacrifice everything in an attempt to defeat the powerful Korrag before his blitz of devastation and ruin puts an end to reality as we know it.
Karl May,1974,"Biography, Drama, History","This ethereal, three-hour biopic is the middle film in Hans-Jürgen Syberberg's ""German Trilogy"" on the mythological foundations of the Third Reich."
Amore e sangue,1951,"Action, Drama","Period crime drama: The King in Rome sends an official to Naples to break up the Camorra, the powerful group running things behind the scenes, currently they are hunting the man who killed one of their members."
Death Smiles on a Murderer,1973,"Horror, Mystery, Romance","Greta, a mysterious woman with amnesia, is taken in by the wealthy Mr. and Mrs. von Ravensbruck. The three soon enter into a love triangle that turns deadly, as Greta's gruesome past is slowly revealed."
Nu hou kuang hua,1998,"Action, Crime",The widow of an executive tries to find her husband's murderer before she becomes the next victim.
Internes Can't Take Money,1937,"Crime, Drama, Romance","In his first film, young Dr. Kildare helps a female ex-con find her child."
Magnum Opus,2017,"Drama, Thriller","This spy thriller pits veteran-turned-artist, Daniel Cliff, against US intelligence, and secrets from his past lead to hellish journey of lies, betrayal, and government retribution."
Prayer to a Vengeful God,2010,"Action, Drama, Mystery","The story of a man caught in a whirlpool of grief and rage over the murder of his wife, Prayer to a Vengeful God is contemporary revenge drama, presented in an austere visual style, completely without dialogue."
The Survivor,1995,"Drama, History","A slight preview of the palestinian case about a palestinian doctor who lives with his wife and Farahan, his son in Haifa while facing the israeli occupation."
Thunder County,1974,"Crime, Drama","Four women escape from a prison and wind up stranded in a swamp with a lecherous redneck after them. Meanwhile, an federal agent tracks a ring of heroin smugglers through the same swamp."
On the Edge,2014,"Action, Crime, Drama",Two hard-living best friends and aficionados of illegal racing contests find their bond tested when one of them goes to trial for vehicular homicide.
Aw Aakare Aa,2003,"Drama, Family",Passionate cry of a child to change the present education system.
8969,2016,"Crime, Mystery, Thriller","A series of mysterious events take place and upon investigation it is revealed that a revenge is been taken of The Murder which was committed many years ago in Federal B Area,Islamabad."
The Mystery of Snow Queen,2015,Fantasy,"A new interpretation of the most known and beloved fairy tale of Hans Christian Andersen - ""Snow Queen"""
Nagana,1933,"Adventure, Drama, Romance","A doctor searches for the cure for nagana, the sleeping sickness caused by the tsetse fly."
"I, Tonya",2017,"Biography, Comedy, Drama","Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes."
Me Two,2008,"Comedy, Fantasy, Music","Ranu, a shy accountant, suddenly discovers a completely opposite personality living in his head: 80's singer Gilles Gabriel."
Another City,2019,"Comedy, Drama, Romance","Two strangers, fleeing failed relationships in other cities, meet on the streets of New York. As they connect over a single evening, their outlook on life and love is tested."
Calvary,1920,"Drama, Romance","In Cornwall, a shipwrecked boy becomes a priest and loves a slum landlord's wife."
Pigen og vandpytten,1958,"Comedy, Family","A chorus girl gets a ride from a rich shipowner's driver. By the time the gossip reaches the cash-strapped theater director, she's engaged to the shipowner. The just fired girl gets promoted to the lead. Other misunderstandings follow."
Booby Trap,1957,"Crime, Drama, Thriller","An absent minded professor invents a pen that will explode on the sound of bells, then leaves it in a taxi."
Memories,2007,"Drama, History",This is the short Pedro Costa made for the Jeonju Digital Project in 2007.
The Bowery,1933,"Comedy, Drama, Music","In New York's Bowery during the Gay Nineties, a saloon owner and a rebel share a rivalry."
The Brink,2007,Thriller,Three men wake after a hard night of partying and find the body of dead woman in a bathtub. Cue a frantic race against time to identify the killer.
Topper Returns,1941,"Comedy, Fantasy, Mystery",A fun-loving young woman is murdered after trading bedrooms with her wealthy friend. Her ghost seeks aid from Topper to find the murderer.
Behind the Headlines,1953,Crime,Gilbert Harding is interviewed by John Fitzgerald and tells how Scotland Yard tracks down lorry thieves who killed a night watchman. (Authentic hospital operation scenes)
Double Cross,1941,"Action, Adventure, Crime","When a cop is shot dead during a raid, and another is mistakenly shot for killing him, his fellow officer friend goes undercover on his own to bust up the criminal's operation."
Stay Single,2010,"Comedy, Romance","Womanizer Owen Daniels has finally met his match...his dorky roommate, Kevin."
Sacrifice d'honneur,1935,"Drama, War","In a time of national emergency, the wife of the Captain of a French battleship finds that her former lover is now the her husband's first officer. Her attempts to sort out this situation get mixed in with shipwreck and court martial."
Waking Karma,2023,"Horror, Thriller","When high school senior Karma's estranged cult leader father traps her and her mother in a remote forest compound, she must survive a series of psychological trials meant to prepare her for a strange and deadly reincarnation ritual."
Intrépidos punks,1988,"Action, Crime","A gang of punks, led by a masquerader named Tarzan; terrorizing a small Mexican city, robbing banks, raping women, and killing people with cruelties. Two enforcers Marco and Javier fight this gang of punks."
The Good War,2002,"Drama, History, War","During the final days of World War II, an Italian prisoner of war in Texas is left in the hands of the camp's commander, the only soldier remaining to guard the only prisoner until the arrival of a patrol force that may never come."
Valiyavan,2015,"Action, Drama","Viond, who is madly in love with Subiksha, is challenged by her that he fight and win Ashwin, a boxing champion. He accepts her challenge to not only prove his love but also settle an old score."
Taqdeer,1967,"Drama, Family","For the well-being of her children, a destitute widow is forced to marry a man she dislikes."
Hilltop Cemetery,2011,"Horror, Mystery, Thriller","When grandfather Billie died, the only thing left to his grandsons, Josh and Conner, was the responsibility of taking care of Hilltop Cemetery for a few days. Could this be a few days of fun or ..."
Paradise Next,2019,"Crime, Drama","Three drifting souls meet by chance on an island in high summer and keep each other company. Facing their inner demons and a mysterious killer, can they truly redeem themselves through love and find the paradise in their hearts?"
What Children Do,2017,"Comedy, Drama, Family",A comedy about two estranged sisters brought back into each other's lives by the impending death of their grandmother.
Betsy,2018,Horror,"After surviving a vicious assault in the city, Betsy moves to the country in hopes of starting over, but as she begins to recover, something begins clawing its way into the moonlight."
The Accidental Prime Minister,2019,"Biography, Drama",Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.
Udhayam NH4,2013,"Action, Thriller",The movie story is set against the backdrop of the National Highways leading to Bangalore.
Belonging,1922,"Crime, Drama",In Paris a Count's enforced wife takes the blame when her ex-lover is killed by the diplomat she loves.
The Ballad of Jeffrey,2015,"Comedy, Horror","When nerdy but lovable Jeffrey sets out to cure cancer for a class project, he accidentally drinks a deadly chemical that turns him into a deranged killer. Soon, a bloody series of murder, revenge, and downright lunacy is set forth!"
Just Like Wine the Older the Better,2014,"Adventure, Comedy","A Father , Son and Good friend set out to bring the joy to Christmas, the best way they know how, and you get to experience the fun they go through to get there. You will laugh and cry with this film."
Nomads,1986,"Horror, Mystery, Thriller","A French anthropologist specializing in nomadic groups moves to Los Angeles with his wife, and starts following a group of sinister street punks who seem to live and move around in a black van. But they aren't what they seem."
Devilman,2004,"Action, Fantasy, Horror","Based on Gô Nagai's manga, about mild-mannered teenager Akira Fudô, who merges with a demon to fight other demons."
Blasted Heath,2016,"Comedy, Horror, Sci-Fi",A meteor falls on Earth and the pieces are scattered everywhere. And the future of humanity depends on a mute and paranoid scientist and a man who doesn't want to hear or understand anything.
A Single Shot,2013,"Crime, Drama, Thriller",The tragic death of a beautiful young girl starts a tense and atmospheric game of cat and mouse between hunter John Moon and the hardened backwater criminals out for his blood.
The Aryan Couple,2004,"Drama, War","A WWII Drama about a German/Jewish industrialist who, in order to ensure his family's safe passage out of Germany, is forced to hand over his business to the Germans."
Nina's House,2005,"Drama, History, War","During WWII a group of Jewish children is sent to a castle outside Paris to hide there until things cool down, but it eventually becomes their new home. Later, children from the liberated concentration camps arrive there as well."
The Secret of My Success,1987,"Comedy, Romance","A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life."
Street Scene,1931,"Drama, Romance",Twenty-four hours elapse on the stoop of a Hell's Kitchen tenement as a microcosm of the American melting pot interacts with each other during a summer heatwave.
Hyusisayin tziatzan,1960,"Drama, War",1828 Russian-Persian war and the diplomatic activities of Russian writer Alexander Griboedov are at the center of this war epic.
Prema Geema Jane Do,2016,"Comedy, Drama, Romance",Prema Geema Jaane Do is a soft romantic comedy. The movie is about the protagonist setting up a journey to a new place and meeting new people.Why he hates love and what is in his past forms the main crux of the story.
The Last Night,2018,"Drama, Thriller","When Bea moves back to the country house where she was born, she finds her brother and sister sill living in abject poverty. She will discover that her two siblings share the same ambiguous inclinations and more than one secret."
Gefsi apo erota,1966,Romance,A young newlywed woman discovers that her old flame has returned to Athens and finds herself grappling with uncertainty and endless what-ifs.
7 7,2022,Fantasy,"Two strangers experience a sudden death/re-birth that thrusts them into the most important relationship of their existence. Through their shattered new realities, they explore their psychological and emotional dilemmas for inner peace."
Snow Blinded,2022,"Drama, Horror, Thriller","Shawn (Michael Masurkevitch) and Manny (Mandip Brar) are spending the weekend at Shawn's family cabin. However, as the past and present begin to overlap, Shawn descends into horrific madness."
Blood Machines,2019,"Adventure, Music, Sci-Fi",An artificial intelligence escapes her spaceship to turn into a female ghost and challenges two blade runners to a galactic chase.
Tik Tik Tik,2018,"Action, Adventure, Sci-Fi","After discovering that an asteroid the size of a city is going to impact Earth in less than a month, India recruits a misfit team to save the country."
Seni Seviyorum,1983,"Drama, Romance","As a coincidence, Murat founds his ex-love Selma after several years in his town. He would like to make up and regain her trust and love. However Selma already have a different life style."
West of Zanzibar,1928,"Drama, Mystery",A magician seeks vengeance upon the man who paralyzed him and the illegitimate daughter he sired with the magician's wife.
Battalion,2018,"Action, Drama, Sci-Fi","After a war against an enemy from another world breaks out in the South Pacific, a group of freshly recruited U.S. Marines are sent to the front lines."
Shadow,2018,Horror,"Five friends plan to venture out to the forest where people are afraid to go. Though the people in the locality and the family members object to go to this haunted place, they courageously get into the forest."
Babbelkous,1974,"Comedy, Crime","A lawyer's receptionist is keen on detective stories and crime films. Believing her boss has been killed, she reports it to the police, but once questioned she knows all the answers about his disappearance."
Piégé,2014,Thriller,A soldier is stuck in a combat zone after stepping on a mine.
The Hobbit: An Unexpected Journey,2012,Fantasy,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
Glory at Dawn,1958,Action,The story of a newspaper reporter who dared face an angry outlaw band.
Skagit,2021,Horror,"On a getaway weekend in the Skagit Valley, four friends from Seattle drift into their own dark, dangerous alternate realities."
Doctor Omar's Gang,2007,"Comedy, Romance","A psychiatrist returns from abroad to apply new theories in therapy, where meet a rich girl worked as a translator but diagnosed with theft disease, and go to Dr. Omar then they fall in a love story."
The Ax,2005,"Comedy, Crime, Drama","A chemist (Garcia) loses his job to outsourcing. Two years later and still jobless, he hits on a solution: to genuinely eliminate his competition."
Nater Guru,2003,"Comedy, Drama, Romance","A man tries to bring together his girlfriends' parents, who have been estranged for fifteen years because of disagreements, misunderstandings, and pride."
Fantastic Vacance,2017,"Drama, Family",A mother and her daughter travel to find meaning for their family.
Knyaz Igor,1969,"Adventure, Musical","An adaptation into film of the opera by Alexander Borodin of the same name, in turn based on the poem ""The Lay of Igor's Host""."
Batang Cebu .45,1989,"Action, Drama",THIS ACTION FILM FEATURES THE LIFE STORY OF ANOTHER SMALL TOWN GUY WHOSE CAREER IN CRIME STARTED WITH SOME PETTY LAWLESSNESS.
Paul's Promise,2022,"Drama, Family","The inspiring true story of Paul Holderfield, a bigoted firefighter-turned pastor, who started one of the first integrated churches in the American South."
L'état de grâce,1986,"Drama, Romance",The story of an affair between a bachelor junior minister in the French socialist government and a married right-wing business woman.
Hollywood Story,1951,"Crime, Drama, Film-Noir",An independent producer unwisely opens a can of worms after he decides to make a movie about the unsolved murder of a famous silent film director in 1929.
Bert: The Last Virgin,1995,"Comedy, Family, Romance",The story of Swedish teenager Bert Ljung who has a big problem getting rid of his virginity.
Sex and the College Girl,1964,"Drama, Romance",This early 1960s film depicts the trivial pursuits and relationships of two college-age girls on a weekend vacation to a luxury resort in Puerto Rico.
Death Goes to School,1953,Mystery,A Teacher is murdered at an all girls school. Police investigate and discover that the staff room is full of suspects.
En förtjusande fröken,1945,"Comedy, Drama, Musical","Insurance salesman Paul is to be engaged with Louise, the daughter of his boss. Trying to sell insurance to a millionaire he meet the millionaire's daughter Annette whom he fall in love with after some complications and funny business."
Sahara,1983,"Adventure, Drama","Intent on winning a competition in place of her distinguished late father, beautiful young heiress Dale takes on the guise of a man and competes in his spot, embarking on a car race that crosses the unforgiving Sahara desert."
The Challenge of Flight - Go to Guns,2020,War,"This program traces the development of air combat from the use of air balloons to advanced weaponry of this era. See rare historic battle footage, cockpit views, battlefield action, bombs-eye-view in actual attacks, and more."
Cruel World,2005,"Comedy, Horror, Thriller","Reeling from his dismissal from a reality show, a deranged runner-up holds a group of co-eds hostage on the set of his own fictitious show, where losers suffer a deadly fate."
Tips for Cheating,2017,"Comedy, Romance",Two jilted women create a company to catch cheating men.
More American Graffiti,1979,"Comedy, Drama, War","Told in four different New Year's Eves in the mid 1960s, John, Terry, Debbie, Steve and Laurie deal with adulthood, the Vietnam war, peace rallies, and relationships."
Ingili,2013,Thriller,"This is an experimental suspense thriller that has only 2 characters, 1 location, 1 rainy night and a risky bet that is too easy not to turn down."
Odin,1985,"Animation, Action, Adventure","A distress signal from a point near Jupiter takes the crew of the space-ship Starlight on a voyage through the sea of stars to a mysterious planet called Odin, the possible birthplace of the universe."
London's Underworld,1914,Crime,A detective chases pearl thieves to Newhaven and saves a girl from a warehouse fire.
Angel Eyes,1993,"Crime, Drama, Thriller","A troubled teenager wants no one coming between her and her stepfather--which, unknown to him, is why she murdered her mother. Now ""dad"" has a new girlfriend, who has no idea how much trouble she will soon be in."
Karim Patwa's Spaceship,2004,"Biography, Comedy, Sci-Fi","Karim is absolutely convinced he's an extraterrestrial. To find out more, he visits his Swiss mother. Here a mysterious soft drink bottle appears which turns into a spaceship. Karim hopes to find an answer in space ..."
Paprika Jancsi,1957,"Animation, Family",This cartoon gives advice to parents what type of toys to buy for their children.
Island of Lost Women,1959,Adventure,A plane makes an emergency landing on a jungle island inhabited by a scientist and his three nubile young daughters. Complications ensue.
Revolving Face,2016,Biography,English version to release coming soon.
The Drug King,2018,"Action, Crime, Drama","Set in Busan, South Korea during the 1970s, Lee Doo-sam builds an empire as a drug smuggler in the Busan underworld, while public prosecutor Kim In-goo attempts to take down Lee Doo-sam."
Mayuran,2019,"Action, Drama, Thriller",A college student locks horns with a dreaded gangster after getting to know that his friend was killed by the latter.
My Dear Bootham,2022,"Comedy, Family, Fantasy","When a kid named Pannu finds a lantern in a cave, he opens it when he gets home and it releases the King of all Genies named Karkimuki. The genie helps the little boy with his problems of everyday life."
"Before, Now & Then",2022,"Drama, History","Nana, a gentle, beautiful young woman, escapes a violent anti-communist purge. Afterwards she lives comfortably as the second wife of a rich Sundanese man but her past re-emerges in her dreams."
Max Rules,2004,"Action, Adventure, Comedy","Three best friends spy on their families, sneak into each other's house, and organize elaborate pranks."
Alluda Majaaka!,1995,"Action, Comedy, Drama","Village bullies attempt to acquire lucrative land and engineer advantageous marital alliances, while the protagonists fight for love and honor."
The Abandoned Project X,2013,"Action, Sci-Fi, Thriller",A young man is trapped in a post-apocalyptic shack with his father. The radiation and atmospheric conditions of the world outside make them prisoners of their own home.
Don't Go Breaking My Heart,2011,Romance,"An original twist on an eternal triangle, where secret crush and unrequited love take on altogether newfangled meanings of their own."
The Tumbler,2008,"Action, Adventure, Mystery",A man hunts down buried treasure in the Australian outback from World War II with the help of an unlikely accomplice.
Looking for Mister Perfect,2003,"Drama, Action, Comedy","A policewoman has always had the worst luck in love. On a trip to Malaysia, she finally meets the man of her dreams. However, her Perfect Man might not be all he appears to be."
Ik wist het,2022,"Comedy, Romance",'IK WIST HET' is a magical feel-good film about an unorthodox young woman who opens up her own flower shop purely on intuition and meets the man she has -literally- always dreamed of.But then a new dream man presents itself.Who is the one?
"Colmillos, el hombre lobo",1993,"Horror, Mystery, Thriller","Cristóbal (Miguel Ángel Rodríguez) a poor horse rancher has big ambitions and in exchange of money and power, is cursed, now by night he turns into a ferocious werewolf"
Illusionism,2015,Thriller,"An art student moves into a house owned by a mysterious woman. She discovers that her new artistic talent comes from beyond this world, revealing very deadly secrets about previous residents."
Pari,2018,Horror,A man rescues a mysterious woman from the jungle.
When Zachary Beaver Came to Town,2003,"Comedy, Drama, Family","Zachary Beaver, a sideshow attraction known as the world's fattest boy, arrives in the sleepy town of Granger, Texas."
Rasputin,1938,"Biography, Drama, History","Story of the Siberian monk Gregory Rasputin and the hold he exerted over the court of the last Russian czar, Nicholas."
Hachi-ko,1987,"Biography, Drama, Family","The true story about a dog's loyalty to its master, even after his death."
Dost Garibon Ka,1989,"Action, Comedy",A thief steals from the rich and gives it to poor.
Secrets of the Magic City,2014,"Comedy, Drama, Mystery",Secrets is a gritty story filled with hope and the will to survive.
Cinco gallinas y el cielo,1957,"Comedy, Drama, Sci-Fi","One night, a thief steals five chickens to sell it. This is a particular because those animals have an special component that will bring audacity to anyone who eats its flesh."
Friendship,2021,"Action, Crime, Drama","Set in college, Friendship is an emotional saga where two friends go out of their way to help a girl get justice, who is sexually abused and killed by goons. Will they succeed? After all, justice delayed is justice denied."
